Date,Open,High,Low,Close,Volume
2022-05-18,41906.58,42896.59,41906.58,42896.59,3474361
2022-05-19,42896.59,42897.17,41420.7,41473.45,3888120
2022-05-20,41447.64,42214.68,41447.64,41779.48,2868782
2022-05-23,41994.55,43520.68,41994.55,43457.58,2303927
2022-05-24,43302.73,43526.53,42827.33,42978.09,3295526
2022-05-25,42957.17,43168.67,41443.59,41517.26,4870262
2022-05-26,41509.25,41509.25,37443.39,39234.2,8881732
2022-05-27,39231.65,40057.32,38467.97,38644.57,6780427
2022-05-30,38642.97,39151.37,38550.35,38751.18,3806759
2022-05-31,38752.78,39832.68,38752.78,39397.41,8582972
2022-06-01,39413.44,40719.37,39338.51,40512.77,2829790
2022-06-02,40512.77,41472.96,40512.77,40812.33,3751699
2022-06-03,40819.77,41429.09,40785.77,41304.36,1336286
2022-06-07,41356.39,41473.69,40328.48,40330.91,2899831
2022-06-08,40498.56,40776.45,40087.58,40350.43,2190074
2022-06-09,40350.71,40557.25,39656.05,39663.15,2313090
2022-06-10,39663.42,39745.18,38876.54,38950.67,2523227
2022-06-13,38745.44,38759.26,37939.1,37942.09,3458377
2022-06-14,37941.2,38842.12,37941.2,38706.29,2934929
2022-06-15,38705.96,39550.84,38536.8,39318.71,3823669
2022-06-16,39318.71,39567.38,38845.72,39224.77,2534275
2022-06-17,39224.77,39478.54,38918.53,39299.75,3682551
2022-06-20,39305.73,39737.05,39170.93,39691.12,1461445
2022-06-21,39772.05,41033.07,39760.49,40936.77,2500286
2022-06-22,40951.9,40951.9,39948.39,40035.72,2367479
2022-06-23,40036.09,40110.8,39582.32,39614.0,1542497
2022-06-24,39621.02,40209.44,39412.74,39412.74,1623618
2022-06-27,39464.36,40121.45,39296.52,39501.86,1391931
2022-06-28,39501.86,40523.92,39501.86,40481.51,1969590
2022-06-29,40481.38,40481.38,39723.98,39900.32,2243403
2022-06-30,39830.15,39830.15,39109.89,39240.53,3811726
2022-07-01,39163.11,39921.3,39108.35,39331.33,1689318
2022-07-04,39331.33,39791.41,39326.5,39707.19,778586
2022-07-05,39705.46,40131.78,38689.24,39256.26,2355453
2022-07-06,39241.32,39736.82,38826.11,39352.08,2829759
2022-07-07,39354.99,40060.23,39144.9,39689.27,2312611
2022-07-08,39787.52,40293.8,39513.9,39846.64,2023113
2022-07-11,39841.3,39841.3,39148.62,39151.31,1044452
2022-07-12,39151.31,39151.31,38486.04,38519.66,3380262
2022-07-13,38518.57,39145.75,38518.57,38902.62,1796663
2022-07-14,38903.76,39566.71,38869.93,39246.42,4215051
2022-07-15,39259.78,39825.55,39179.68,39659.23,2175094
2022-07-18,39659.81,40388.05,39659.81,40355.51,2709445
2022-07-19,40187.08,40746.74,40088.91,40740.51,2995683
2022-07-20,40747.63,41300.12,40629.36,41139.32,3304091
2022-07-21,41177.53,42036.0,41151.89,42030.31,3258204
2022-07-22,41868.9,42368.15,41657.62,42327.67,1825103
2022-07-25,42327.87,42327.87,41423.95,41725.26,1054170
2022-07-26,41724.36,41745.28,41024.52,41174.99,2501027
2022-07-27,41174.99,41653.18,40848.05,41653.18,1061824
2022-07-28,41700.94,42215.55,41634.39,41771.13,2308326
2022-07-29,41761.57,42143.52,41667.93,41805.28,1435474
2022-08-01,41805.28,42293.31,41395.72,42265.24,1858332
2022-08-02,42288.36,42464.65,41903.74,42182.66,1515609
2022-08-03,42239.98,42938.16,42239.43,42931.04,1989482
2022-08-04,42930.48,43625.74,42866.23,43332.83,4108513
2022-08-05,43297.74,43728.02,43117.18,43468.28,2253409
2022-08-08,43468.28,44253.21,43346.97,44034.83,2028223
2022-08-09,44037.82,44189.4,42578.94,42733.39,3029961
2022-08-10,42635.11,44161.02,42614.1,44130.61,2398980
2022-08-11,44130.06,44589.38,43764.87,44148.98,2478260
2022-08-12,44129.87,44445.81,43520.69,43662.95,1335278
2022-08-15,43729.82,43950.9,42868.17,43034.16,1240624
2022-08-16,43034.16,43562.13,42763.74,43528.08,1468155
2022-08-17,43571.44,43792.48,42581.39,42980.64,1277876
2022-08-18,42981.35,43219.89,42790.95,43099.47,1011483
2022-08-19,43097.89,43210.04,42790.43,42990.47,1151086
2022-08-22,42987.8,43027.26,42689.66,42705.36,2702352
2022-08-23,42710.39,43069.23,42417.53,43004.14,1525790
2022-08-24,43024.38,43263.36,42899.95,43097.98,1201856
2022-08-25,43097.98,43626.83,43096.97,43428.43,1828910
2022-08-26,43506.47,43582.61,43211.29,43343.38,850703
2022-08-29,43257.4,43260.39,42396.9,42631.81,2065958
2022-08-30,42641.36,43127.81,42226.92,42362.17,2135934
2022-08-31,42367.05,42541.04,41877.22,41877.22,4454051
2022-09-01,41946.59,42034.79,41271.13,41447.57,2040241
2022-09-02,41537.17,42060.29,41499.6,41941.27,2085259
2022-09-05,41944.26,41952.4,40968.02,41130.96,1369532
2022-09-06,41124.41,41470.84,40776.25,40851.24,1436998
2022-09-07,40846.96,41399.9,40704.49,41292.35,1192775
2022-09-08,41393.52,41760.42,40729.45,40863.94,1998529
2022-09-09,40872.85,41352.24,40778.13,40910.81,1550052
2022-09-12,40911.34,41789.17,40911.34,41624.9,2156728
2022-09-13,41610.87,41901.34,41279.6,41575.55,1968849
2022-09-14,41505.37,41505.37,40939.71,41178.24,1469305
2022-09-15,41175.49,41293.36,40639.69,40690.91,1728363
2022-09-16,40690.91,40738.82,40048.64,40057.18,6526590
2022-09-19,40151.77,40574.23,39943.18,40261.73,2769153
2022-09-20,40258.67,40722.74,39691.46,39691.46,2950287
2022-09-21,39691.46,39740.25,39189.23,39241.07,2312902
2022-09-22,39232.78,39838.3,38826.9,39548.71,1932141
2022-09-23,39549.29,39711.46,38486.58,38657.41,2368908
2022-09-26,38517.26,38849.74,37781.68,38528.86,2287212
2022-09-27,38537.46,39035.76,38537.46,38549.03,2350815
2022-09-28,38555.62,38604.09,37510.3,37731.27,2481600
2022-09-29,37737.39,37985.03,37011.38,37035.79,2320084
2022-09-30,37199.16,38134.55,37154.01,37838.3,2684428
2022-10-03,37841.06,38420.33,37428.66,38420.33,1661297
2022-10-04,38421.82,39925.63,38421.82,39911.2,1903899
2022-10-05,39913.07,39949.5,38962.55,39385.3,1582704
2022-10-06,39522.88,39800.17,39073.49,39256.29,1212149
2022-10-07,39256.29,39720.03,38807.19,39537.63,2030924
2022-10-10,39539.07,39595.68,38940.14,39091.49,1182446
2022-10-11,38966.22,39030.09,38543.17,38718.68,1693351
2022-10-12,38721.46,39045.68,38534.64,38817.3,1246078
2022-10-13,38818.02,39131.86,38616.92,38787.95,1576798
2022-10-14,38787.37,39770.12,38787.37,39603.36,2473261
2022-10-17,39603.36,40005.38,39404.14,39855.56,2683461
2022-10-18,39861.18,40916.52,39861.18,40910.44,2401761
2022-10-19,40911.16,40923.93,39839.0,40070.72,1609371
2022-10-20,40070.72,40573.68,39713.46,40451.17,3799112
2022-10-21,40451.17,40513.21,39871.89,40431.97,1167933
2022-10-24,40431.97,40493.63,39685.51,40091.49,1277464
2022-10-25,40143.08,40647.05,40128.57,40588.89,1780902
2022-10-26,40602.7,40718.22,40258.74,40553.56,928216
2022-10-27,40483.49,40993.81,40291.33,40990.22,1245739
2022-10-28,40993.0,41298.67,40568.87,41053.71,1770052
2022-11-02,41053.71,41580.94,41053.71,41414.05,2576213
2022-11-03,41396.85,41875.37,41041.34,41768.7,1379847
2022-11-04,42061.04,42844.6,42001.37,42629.68,2545474
2022-11-07,42625.98,43860.16,42377.76,43812.28,3908737
2022-11-08,43810.9,44209.44,43021.8,43840.56,2683738
2022-11-09,43857.13,44193.68,43450.87,43973.77,2887534
2022-11-10,43828.72,43828.72,42874.38,43164.34,1931453
