model,series,alpha,n_obs,n_violations,violation_rate,expected_rate,kupiec_stat,kupiec_p,kupiec_pass,christoffersen_stat,christoffersen_p,christoffersen_pass,basel_tl,last250_violations,as_z2,as_p,as_pass
LSTM-Conformal,WIG20_ret,0.025000,1997,65,0.032549,0.025000,7.560835,0.005965,False,15.345985,0.000465,False,Green,5,-0.430113,0.015000,False
LSTM-Conformal,WIG20_ret,0.050000,1997,111,0.055583,0.050000,12.653945,0.000375,False,14.951097,0.000567,False,Green,7,,,
LSTM-Conformal,EURPLN_ret,0.010000,2083,32,0.015362,0.010000,5.841700,0.015651,False,8.595145,0.013602,False,Green,1,,,
LSTM-Conformal,EURPLN_ret,0.025000,2083,61,0.029285,0.025000,4.577095,0.032402,False,11.316749,0.003488,False,Green,4,-0.265838,0.066000,True
LSTM-Conformal,EURPLN_ret,0.050000,2083,116,0.055689,0.050000,13.271009,0.000270,False,22.873580,0.000011,False,Green,10,,,
LSTM-Conformal,PX_ret,0.010000,2003,43,0.021468,0.010000,20.892769,0.000005,False,43.858582,0.000000,False,Yellow,6,,,
LSTM-Conformal,PX_ret,0.025000,2003,69,0.034448,0.025000,10.068525,0.001508,False,25.415383,0.000003,False,Green,8,-0.509889,0.010000,False
LSTM-Conformal,PX_ret,0.050000,2003,111,0.055417,0.050000,12.584269,0.000389,False,23.211341,0.000009,False,Green,12,,,
LSTM-Conformal,EURCZK_ret,0.010000,2083,31,0.014882,0.010000,4.984122,0.025581,False,5.482629,0.064486,True,Green,3,,,
LSTM-Conformal,EURCZK_ret,0.025000,2083,64,0.030725,0.025000,5.854193,0.015540,False,5.866561,0.053222,True,Green,5,-0.306257,0.048000,False
LSTM-Conformal,EURCZK_ret,0.050000,2083,122,0.058569,0.050000,15.575150,0.000079,False,18.750306,0.000085,False,Green,9,,,
LSTM-Conformal,BUX_ret,0.010000,1991,40,0.020090,0.010000,16.642077,0.000045,False,27.487775,0.000001,False,Green,3,,,
LSTM-Conformal,BUX_ret,0.025000,1991,64,0.032145,0.025000,7.070563,0.007836,False,21.401470,0.000023,False,Green,7,-0.496908,0.006000,False
LSTM-Conformal,BUX_ret,0.050000,1991,111,0.055751,0.050000,12.725743,0.000361,False,33.087865,0.000000,False,Green,10,,,
LSTM-Conformal,EURHUF_ret,0.010000,2083,26,0.012482,0.010000,1.724109,0.189165,True,2.664357,0.263902,True,Green,1,,,
LSTM-Conformal,EURHUF_ret,0.025000,2083,64,0.030725,0.025000,5.854193,0.015540,False,7.614366,0.022211,False,Green,5,-0.275520,0.055000,True
LSTM-Conformal,EURHUF_ret,0.050000,2083,115,0.055209,0.050000,12.950048,0.000320,False,19.140025,0.000070,False,Green,12,,,
LSTM-Conformal,SOFIX_ret,0.010000,1969,30,0.015236,0.010000,5.302836,0.021291,False,16.469855,0.000265,False,Yellow,5,,,
LSTM-Conformal,SOFIX_ret,0.025000,1969,66,0.033520,0.025000,8.648371,0.003274,False,25.270190,0.000003,False,Green,7,-0.517934,0.023000,False
LSTM-Conformal,SOFIX_ret,0.050000,1969,124,0.062976,0.050000,19.193051,0.000012,False,32.914483,0.000000,False,Green,13,,,
LSTM-Conformal,USDBGN_ret,0.010000,2081,32,0.015377,0.010000,5.863456,0.015458,False,8.613941,0.013474,False,Yellow,6,,,
LSTM-Conformal,USDBGN_ret,0.025000,2081,62,0.029793,0.025000,4.989370,0.025503,False,5.647277,0.059389,True,Green,9,-0.244825,0.063000,True
LSTM-Conformal,USDBGN_ret,0.050000,2081,112,0.053820,0.050000,12.114230,0.000500,False,17.401227,0.000166,False,Green,13,,,
Chronos-2,BET_ret,0.010000,399,5,0.012531,0.010000,0.339555,0.560086,True,0.344707,0.841682,True,Green,2,,,
Chronos-2,BET_ret,0.025000,399,17,0.042607,0.025000,5.064900,0.024415,False,5.101458,0.078025,True,Green,7,-0.503360,0.077000,True
Chronos-2,BET_ret,0.050000,399,29,0.072682,0.050000,6.788692,0.009174,False,7.661607,0.021692,False,Green,16,,,
Chronos-2,EURRON_ret,0.010000,417,5,0.011990,0.010000,0.257392,0.611918,True,0.261446,0.877461,True,Green,4,,,
Chronos-2,EURRON_ret,0.025000,417,10,0.023981,0.025000,0.524367,0.468985,True,0.522336,0.770151,True,Green,7,-7.078823,0.240000,True
Chronos-2,EURRON_ret,0.050000,417,24,0.057554,0.050000,2.940786,0.086369,True,3.088695,0.213451,True,Green,16,,,
Chronos-2,WIG20_ret,0.010000,400,4,0.010000,0.010000,0.080403,0.776752,True,0.080428,0.960584,True,Green,2,,,
Chronos-2,WIG20_ret,0.025000,400,8,0.020000,0.025000,0.845027,0.357963,True,0.834848,0.658742,True,Green,4,0.036517,0.501000,True
Chronos-2,WIG20_ret,0.050000,400,19,0.047500,0.050000,2.002629,0.157027,True,2.008218,0.366371,True,Green,10,,,
Chronos-2,EURPLN_ret,0.010000,417,2,0.004796,0.010000,1.452512,0.228125,True,1.442039,0.486256,True,Green,1,,,
Chronos-2,EURPLN_ret,0.025000,417,3,0.007194,0.025000,7.663120,0.005636,False,7.626942,0.022071,False,Green,1,0.720791,1.000000,True
Chronos-2,EURPLN_ret,0.050000,417,15,0.035971,0.050000,3.445652,0.063418,True,3.757341,0.152793,True,Green,9,,,
Chronos-2,PX_ret,0.010000,401,10,0.024938,0.010000,6.587722,0.010268,False,6.618193,0.036549,False,Yellow,6,,,
Chronos-2,PX_ret,0.025000,401,24,0.059850,0.025000,15.673486,0.000075,False,17.258030,0.000179,False,Red,17,-1.212063,0.005000,False
Chronos-2,PX_ret,0.050000,401,39,0.097257,0.050000,18.955492,0.000013,False,20.431097,0.000037,False,Red,24,,,
Chronos-2,EURCZK_ret,0.010000,417,2,0.004796,0.010000,1.452512,0.228125,True,1.442039,0.486256,True,Green,0,,,
Chronos-2,EURCZK_ret,0.025000,417,9,0.021583,0.025000,0.665030,0.414790,True,0.658085,0.719612,True,Green,5,0.310933,0.917000,True
Chronos-2,EURCZK_ret,0.050000,417,18,0.043165,0.050000,2.275654,0.131420,True,2.324835,0.312729,True,Green,9,,,
Chronos-2,BUX_ret,0.010000,399,5,0.012531,0.010000,0.339555,0.560086,True,0.344707,0.841682,True,Green,3,,,
Chronos-2,BUX_ret,0.025000,399,12,0.030075,0.025000,1.003979,0.316350,True,1.014495,0.602151,True,Green,7,-0.204457,0.283000,True
Chronos-2,BUX_ret,0.050000,399,21,0.052632,0.050000,2.211548,0.136981,True,4.791319,0.091113,True,Green,12,,,
Chronos-2,EURHUF_ret,0.010000,417,2,0.004796,0.010000,1.452512,0.228125,True,1.442039,0.486256,True,Green,1,,,
Chronos-2,EURHUF_ret,0.025000,417,2,0.004796,0.025000,10.520421,0.001181,False,10.479413,0.005302,False,Green,1,0.788846,1.000000,True
Chronos-2,EURHUF_ret,0.050000,417,15,0.035971,0.050000,3.445652,0.063418,True,3.416423,0.181190,True,Green,7,,,
Chronos-2,SOFIX_ret,0.010000,394,4,0.010152,0.010000,0.081321,0.775515,True,0.081655,0.959995,True,Green,1,,,
Chronos-2,SOFIX_ret,0.025000,394,9,0.022843,0.025000,0.533156,0.465283,True,0.528795,0.767668,True,Green,3,0.029655,0.498000,True
Chronos-2,SOFIX_ret,0.050000,394,19,0.048223,0.050000,1.975627,0.159852,True,3.056782,0.216884,True,Green,10,,,
Chronos-2,USDBGN_ret,0.010000,417,5,0.011990,0.010000,0.257392,0.611918,True,0.261446,0.877461,True,Green,2,,,
Chronos-2,USDBGN_ret,0.025000,417,10,0.023981,0.025000,0.524367,0.468985,True,0.522336,0.770151,True,Green,5,0.023203,0.504000,True
Chronos-2,USDBGN_ret,0.050000,417,20,0.047962,0.050000,2.088687,0.148394,True,2.086199,0.352361,True,Green,10,,,
TimesFM-2.5,BET_ret,0.010000,1994,40,0.020060,0.010000,16.580702,0.000047,False,16.648042,0.000243,False,Yellow,7,,,
TimesFM-2.5,BET_ret,0.025000,1994,86,0.043129,0.025000,26.527604,0.000000,False,29.144125,0.000000,False,Yellow,11,-0.883196,0.001000,False
TimesFM-2.5,BET_ret,0.050000,1994,142,0.071214,0.050000,31.358803,0.000000,False,34.858290,0.000000,False,Yellow,20,,,
